date,long_term_real_average
6/3/16,0.65
6/2/16,0.71
6/1/16,0.74
5/31/16,0.73
5/27/16,0.71
5/26/16,0.7
5/25/16,0.73
5/24/16,0.73
5/23/16,0.72
5/20/16,0.71
5/19/16,0.71
5/18/16,0.7
5/17/16,0.61
5/16/16,0.62
5/13/16,0.6
5/12/16,0.63
5/11/16,0.62
5/10/16,0.63
5/9/16,0.66
5/6/16,0.66
5/5/16,0.62
5/4/16,0.66
5/3/16,0.67
5/2/16,0.68
4/29/16,0.61
4/28/16,0.64
4/27/16,0.7
4/26/16,0.76
4/25/16,0.75
4/22/16,0.73
4/21/16,0.72
4/20/16,0.7
4/19/16,0.65
4/18/16,0.67
4/15/16,0.66
4/14/16,0.7
4/13/16,0.69
4/12/16,0.71
4/11/16,0.66
4/8/16,0.62
4/7/16,0.6
4/6/16,0.64
4/5/16,0.61
4/4/16,0.63
4/1/16,0.65
3/31/16,0.64
3/30/16,0.67
3/29/16,0.67
3/28/16,0.78
3/24/16,0.78
3/23/16,0.74
3/22/16,0.78
3/21/16,0.77
3/18/16,0.76
3/17/16,0.82
3/16/16,0.87
3/15/16,0.94
3/14/16,0.92
3/11/16,0.92
3/10/16,0.9
3/9/16,0.87
3/8/16,0.84
3/7/16,0.89
3/4/16,0.85
3/3/16,0.8
3/2/16,0.83
3/1/16,0.86
2/29/16,0.83
2/26/16,0.85
2/25/16,0.82
2/24/16,0.87
2/23/16,0.89
2/22/16,0.93
2/19/16,0.95
2/18/16,0.96
2/17/16,0.98
2/16/16,0.96
2/12/16,0.91
2/11/16,0.85
2/10/16,0.88
2/9/16,0.92
2/8/16,0.9
2/5/16,0.93
2/4/16,0.92
2/3/16,0.91
2/2/16,0.93
2/1/16,1
1/29/16,0.97
1/28/16,1.02
1/27/16,1.04
1/26/16,1.06
1/25/16,1.09
1/22/16,1.11
1/21/16,1.12
1/20/16,1.1
1/19/16,1.09
1/15/16,1.05
1/14/16,1.07
1/13/16,1.04
1/12/16,1.07
1/11/16,1.11
1/8/16,1.05
1/7/16,1.05
1/6/16,1.03
1/5/16,1.08
1/4/16,1.07
12/31/15,1.1
12/30/15,1.13
12/29/15,1.14
12/28/15,1.07
12/24/15,1.08
12/23/15,1.11
12/22/15,1.12
12/21/15,1.09
12/18/15,1.07
12/17/15,1.1
12/16/15,1.16
12/15/15,1.13
12/14/15,1.12
12/11/15,1.01
12/10/15,1.06
12/9/15,1.03
12/8/15,1.01
12/7/15,1
12/4/15,1.02
12/3/15,1.07
12/2/15,0.96
12/1/15,0.94
11/30/15,0.98
11/27/15,0.99
11/25/15,0.99
11/24/15,0.99
11/23/15,0.99
11/20/15,1.01
11/19/15,1.02
11/18/15,1.06
11/17/15,1.07
11/16/15,1.11
11/13/15,1.1
11/12/15,1.12
11/10/15,1.12
11/9/15,1.11
11/6/15,1.11
11/5/15,1.06
11/4/15,1.03
11/3/15,1.02
11/2/15,1
10/30/15,0.98
10/29/15,1.02
10/28/15,0.99
10/27/15,0.95
10/26/15,0.96
10/23/15,0.96
10/22/15,0.96
10/21/15,1
10/20/15,1.01
10/19/15,1.01
10/16/15,0.98
10/15/15,0.96
10/14/15,0.93
10/13/15,0.96
10/9/15,1
10/8/15,0.97
10/7/15,0.95
